Student Number;ABV 320 (S2);BAN 313 (S1);BER 310 (S1);BES 220 (R) (S2);BES 220 (S2);BFB 320 (S2);BGC 410 (S1);BID 320 (S2);BIE 420 (S2);BJJ 210 (S1);BLK 320 (S2);BOB 310 (S1);BOZ 312 (S1);BPZ 220 (S2);BPZ 421 (S2);BSR 410 (S1);BSS 310 (S1);BSS 410 (S2);BUY 321 (S2);CHM 171 (R) (S1);CHM 171 (S1);CHM 172 (S2);CHM 181 (S2);CHM 215 (S1);CHM 226 (S2);CIL 111 (S1);CIL 121 (S2);CIR 113 (S1);CIR 123 (S2);CIR 211 (S1);COS 131 (S1);EBB 320 (S2);EBN 111 (S1);EBN 122 (S2);EIR 211 (S1);EIR 221 (S2);EJJ 210 (S1);ELI 220 (S2);EMK 310 (S1);EMR 100 (Y);EMZ 310 (S1);ENE 310 (S1);ERS 220 (S2);FBS 110 (S1);FSK 116 (S1);FSK 176 (S2);IPI 410 (S1);JCP 203 (Y);JPO 110 (S1);JPO 111 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 122 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);JPO 152 (S1);JPO 161 (S2);MBB 410 (S2);MGC 110 (R) (S1);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MKM 411 (S1);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MOX 410 (S1);MPR 213 (S1);MSC 412 (S1);MSC 422 (S2);MSD 210 (R) (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTV 410 (S1);MTV 420 (S2);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);MVS 311 (S1);NMC 113 (S1);NMC 123 (R) (S2);NMC 123 (S2);SBM 321 (S2);SBZ 221 (S2);SBZ 420 (S2);SCA 420 (S2);SDO 420 (S2);SEV 421 (S2);SGM 210 (S1);SGM 221 (S2);SGM 311 (S1);SGM 323 (S2);SHC 310 (S1);SHC 321 (S2);SHC 410 (S1);SIB 310 (S1);SIE 310 (S1);SIN 223 (S2);SIN 311 (S1);SIN 323 (S2);SIN 324 (S2);SIN 411 (S1);SIN 413 (S1);SJJ 210 (S1);SNV 111 (S1);SNV 121 (S2);SSC 412 (S1);SUR 210 (S1);SVC 323 (S2);SVC 412 (S1);SWK 122 (R) (S1);SWK 122 (R) (S2);SWK 122 (S1);SWK 122 (S2);SWK 210 (S1);WTW 158 (R) (S1);WTW 158 (S1);WTW 161 (R) (S2);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (R) (S1);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (R) (S2);WTW 263 (S2);Target
4395239;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;66.0;NA;NA;NA;NA;80.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;54.0;NA;NA;NA;NA;NA;NA;NA;45.0;NA;NA;54.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
4438745;93.0;73.0;69.0;NA;63.0;72.0;73.0;81.0;70.0;80.0;72.0;73.0;78.0;65.0;67.0;75.0;85.0;85.0;67.0;NA;NA;50.0;NA;NA;NA;NA;75.0;NA;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.0;51.0;NA;86.0;88.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;64.0;NA;NA;NA;61.0;NA;NA;NA;NA;63.0;NA;NA;NA;59.0;NA;NA;NA;NA;60.0;NA;NA;68.0;NA;NA;51.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78.0;62.0;NA;NA;NA;NA;NA;NA;58.0;NA;NA;NA;62.0;NA;63.0;NA;50.0;NA;58.0;NA;65.0;NA;50.0;NA;68.0;Graduated_1
4460830;75.0;59.0;50.0;NA;51.0;71.0;78.0;62.0;63.0;NA;66.0;74.0;77.0;52.0;80.0;86.0;72.0;82.0;79.0;NA;NA;63.0;NA;NA;NA;NA;75.0;NA;NA;NA;NA;NA;64.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.0;67.0;NA;77.0;75.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;69.0;75.0;NA;NA;66.0;NA;NA;NA;NA;80.0;NA;NA;NA;68.0;NA;NA;NA;NA;64.0;NA;NA;59.0;NA;NA;60.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.0;70.0;NA;NA;NA;NA;NA;NA;NA;50.0;NA;NA;68.0;NA;68.0;NA;61.0;NA;51.0;NA;61.0;NA;57.0;NA;58.0;Graduated_0
4463022;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74.0;NA;NA;NA;NA;47.0;NA;NA;NA;70.0;73.0;NA;NA;NA;NA;NA;50.0;NA;NA;71.0;NA;NA;NA;NA;NA;NA;NA;NA;63.0;NA;66.0;73.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59.0;NA;72.0;65.0;56.0;66.0;81.0;71.0;72.0;59.0;65.0;70.0;78.0;65.0;64.0;NA;66.0;72.0;66.0;91.0;70.0;69.0;66.0;69.0;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59.0;70.0;NA;NA;NA;NA;NA;NA;NA;55.0;NA;NA;58.0;NA;53.0;NA;50.0;NA;55.0;NA;58.0;NA;59.0;NA;62.0;Graduated_0
10002040;NA;NA;NA;NA;58.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60.0;64.0;84.0;60.0;70.0;60.0;65.0;67.0;62.0;61.0;64.0;68.0;69.0;NA;NA;NA;NA;64.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.0;62.0;57.0;61.0;85.0;69.0;56.0;58.0;60.0;55.0;73.0;60.0;56.0;62.0;63.0;59.0;71.0;63.0;62.0;63.0;62.0;60.0;58.0;NA;NA;60.0;70.0;54.0;56.0;NA;NA;NA;62.0;65.0;NA;60.0;NA;56.0;NA;58.0;NA;60.0;NA;55.0;NA;72.0;NA;60.0;Graduated_1
10003089;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42.0;42.0;NA;NA;NA;NA;57.0;NA;35.0;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41.0;NA;NA;NA;NA;53.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
10008200;NA;NA;NA;NA;63.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77.0;NA;NA;72.0;36.0;NA;NA;NA;NA;NA;72.0;NA;NA;NA;NA;NA;NA;47.0;NA;43.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;64.0;57.0;89.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;69.0;NA;NA;NA;NA;NA;NA;NA;NA;47.0;NA;NA;NA;54.0;NA;50.0;NA;NA;NA;NA;NA;NA;42.0;NA;51.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80.0;62.0;NA;NA;NA;NA;NA;58.0;33.0;NA;NA;NA;72.0;NA;63.0;NA;50.0;NA;52.0;NA;51.0;77.0;43.0;NA;67.0;Graduated_1
10014706;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.0;NA;NA;NA;36.0;NA;NA;NA;NA;NA;75.0;NA;NA;NA;NA;NA;NA;53.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64.0;63.0;96.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59.0;73.0;NA;NA;NA;NA;NA;NA;NA;NA;58.0;NA;NA;NA;56.0;NA;51.0;NA;NA;57.0;NA;NA;NA;30.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.0;67.0;NA;NA;NA;NA;NA;NA;50.0;NA;50.0;NA;59.0;NA;57.0;NA;51.0;NA;53.0;NA;59.0;NA;53.0;NA;50.0;Graduated_1
10023382;NA;NA;NA;NA;53.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52.0;79.0;84.0;65.0;68.0;61.0;66.0;69.0;57.0;57.0;50.0;67.0;60.0;NA;NA;NA;NA;70.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;56.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;NA;38.0;58.0;30.0;38.0;63.0;54.0;44.0;55.0;39.0;0.0;56.0;39.0;50.0;57.0;35.0;54.0;50.0;42.0;50.0;50.0;39.0;0.0;54.0;NA;NA;50.0;59.0;50.0;58.0;NA;NA;NA;58.0;50.0;NA;58.0;NA;54.0;NA;50.0;59.0;40.0;NA;50.0;75.0;46.0;NA;54.0;Graduated_3
10025121;NA;NA;NA;NA;50.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.0;45.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56.0;54.0;77.0;57.0;51.0;52.0;67.0;71.0;60.0;44.0;54.0;67.0;57.0;NA;NA;NA;NA;63.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;50.0;60.0;61.0;84.0;64.0;57.0;62.0;59.0;35.0;52.0;50.0;0.0;57.0;35.0;50.0;51.0;54.0;50.0;50.0;52.0;55.0;62.0;NA;NA;65.0;58.0;58.0;50.0;NA;NA;NA;62.0;59.0;NA;50.0;76.0;44.0;NA;50.0;NA;50.0;57.0;40.0;59.0;40.0;51.0;36.0;Graduated_2
