Student Number;BES 220 (S2);BSS 310 (S1);CHM 171 (S1);CHM 172 (S2);CIL 111 (S1);CIL 121 (S2);EBN 111 (S1);EBN 122 (S2);EIR 221 (S2);FSK 116 (S1);FSK 176 (S2);JCP 203 (Y);JPO 110 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);MGC 110 (S1);MIA 320 (S2);MJJ 210 (S1);MKM 321 (S2);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MPR 213 (S1);MPY 315 (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (S1);MTX 221 (S2);MTX 311 (S1);MVR 320 (S2);NMC 113 (S1);NMC 123 (S2);SNV 111 (S1);SNV 121 (S2);SWK 122 (R) (S2);SWK 122 (S2);SWK 210 (S1);SWP 121 (S2);WTW 158 (S1);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (S2);WWP 121 (S2);Target
4395239;;;;;;;;80.0;;;;;;;;;;;;;33.0;;;;;;;;;;;;;;;;;;50.0;54.0;;45.0;;;54.0;;;;;;;;;;0.0;Discontinued
4438745;63.0;85.0;;50.0;;75.0;50.0;;;51.0;;88.0;;;;;;;;;50.0;64.0;;;61.0;;;;63.0;;59.0;;;60.0;;;;51.0;78.0;62.0;;;;;62.0;63.0;;50.0;;58.0;65.0;;50.0;68.0;0.0;Graduated_1
4460830;51.0;72.0;;63.0;;75.0;64.0;;;67.0;;75.0;;;;;;;;;50.0;69.0;75.0;;66.0;;;;80.0;;68.0;;;64.0;;;;60.0;76.0;70.0;;50.0;;;68.0;68.0;;61.0;;51.0;61.0;;57.0;58.0;0.0;Graduated_0
4463022;50.0;74.0;;47.0;70.0;73.0;50.0;;71.0;63.0;;73.0;;;;;;;;;72.0;65.0;56.0;66.0;71.0;72.0;59.0;65.0;78.0;0.0;66.0;72.0;66.0;69.0;66.0;69.0;;50.0;59.0;70.0;;55.0;;;58.0;53.0;;50.0;;55.0;58.0;;59.0;62.0;0.0;Graduated_0
10002040;58.0;;59.0;;;;70.0;;;;60.0;84.0;60.0;60.0;65.0;67.0;62.0;64.0;68.0;69.0;64.0;;;;;;;;50.0;;;;;;;;;53.0;;;;62.0;65.0;0.0;60.0;56.0;;58.0;;60.0;55.0;;72.0;60.0;;Graduated_1
10003089;;;42.0;;57.0;;50.0;;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;36.0;;;;41.0;;;;53.0;;;;;;;;;;Discontinued
10008200;63.0;77.0;36.0;;;72.0;;47.0;43.0;;64.0;89.0;;;;;;;;;50.0;69.0;;;;;;;47.0;;54.0;;50.0;;;;42.0;51.0;80.0;62.0;58.0;;;;72.0;63.0;;50.0;;52.0;51.0;77.0;43.0;67.0;0.0;Graduated_1
10014706;50.0;53.0;36.0;;;75.0;;53.0;;;64.0;96.0;;;;;;;;;59.0;73.0;;;;;;;58.0;;56.0;;51.0;57.0;;;30.0;;76.0;67.0;;;50.0;;59.0;57.0;;51.0;;53.0;59.0;;53.0;50.0;;Graduated_1
10023382;53.0;;57.0;;;;69.0;;;;52.0;84.0;65.0;61.0;66.0;69.0;57.0;50.0;67.0;60.0;70.0;;;;;;;;56.0;;;;;;;;50.0;38.0;;;;58.0;50.0;0.0;58.0;54.0;;50.0;59.0;40.0;50.0;75.0;46.0;54.0;;Graduated_3
10025121;50.0;;45.0;;;;55.0;;;;56.0;77.0;57.0;52.0;67.0;71.0;60.0;54.0;67.0;57.0;63.0;;;;;;;;55.0;;;;;;;;;50.0;;;;62.0;59.0;0.0;50.0;44.0;;50.0;;50.0;40.0;59.0;40.0;36.0;;Graduated_2
10036106;93.0;;85.0;;78.0;75.0;;94.0;;;93.0;97.0;;;;;;;;;71.0;;;;;;;;95.0;;;;;;;;72.0;;80.0;66.0;;93.0;94.0;0.0;89.0;98.0;;94.0;;88.0;93.0;;93.0;93.0;;Graduated_0
10062247;67.0;42.0;50.0;;;80.0;;42.0;55.0;;26.0;97.0;;;;;;;;;53.0;63.0;;;;;;;;;58.0;;;;;;37.0;;59.0;64.0;54.0;40.0;;;53.0;40.0;57.0;40.0;51.0;28.0;52.0;;50.0;40.0;;Active (BEng)
10074342;66.0;63.0;62.0;;82.0;78.0;;66.0;67.0;;66.0;88.0;;;;;;;;;66.0;68.0;82.0;77.0;69.0;71.0;62.0;77.0;61.0;0.0;73.0;79.0;74.0;73.0;71.0;75.0;57.0;;51.0;63.0;;45.0;;0.0;61.0;61.0;;52.0;;68.0;73.0;;79.0;75.0;;Graduated_1
10074962;;53.0;55.0;;;;0.0;41.0;40.0;;50.0;75.0;61.0;56.0;48.0;60.0;51.0;50.0;50.0;64.0;29.0;0.0;;;;;;;37.0;;41.0;;44.0;;;;44.0;;;;;50.0;;;59.0;36.0;53.0;27.0;50.0;48.0;50.0;59.0;42.0;52.0;0.0;Active (BEng)
10077686;73.0;72.0;;;;;;66.0;51.0;75.0;;91.0;;;;;;;;;71.0;79.0;;;;;;;60.0;;;;;;;;;;67.0;80.0;;51.0;29.0;;78.0;68.0;;63.0;;57.0;50.0;;60.0;63.0;0.0;Graduated_1
10085786;35.0;51.0;38.0;0.0;;;42.0;46.0;;30.0;46.0;91.0;50.0;55.0;54.0;62.0;41.0;61.0;58.0;54.0;42.0;71.0;;;51.0;;;;39.0;;38.0;;;41.0;;;;36.0;;;52.0;43.0;;;41.0;52.0;53.0;36.0;53.0;40.0;50.0;53.0;45.0;41.0;0.0;Graduated_3
10088301;;;;50.0;;;53.0;;;42.0;;;50.0;61.0;70.0;51.0;57.0;;;69.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;53.0;50.0;;52.0;;;;67.0;45.0;;0.0;Discontinued
10090143;36.0;53.0;;59.0;;;50.0;;;66.0;;72.0;61.0;56.0;50.0;79.0;64.0;50.0;52.0;73.0;50.0;70.0;;;;;;;39.0;;51.0;;42.0;50.0;;;50.0;39.0;;;;42.0;37.0;;62.0;58.0;;50.0;;50.0;33.0;61.0;33.0;50.0;;Graduated_3
10097105;53.0;38.0;;71.0;;75.0;70.0;;50.0;69.0;;75.0;;;;;;;;;54.0;65.0;65.0;52.0;69.0;70.0;66.0;66.0;54.0;0.0;53.0;73.0;55.0;57.0;65.0;58.0;;56.0;77.0;65.0;73.0;;;;71.0;71.0;;54.0;;66.0;59.0;;61.0;59.0;0.0;Graduated_1
10098862;83.0;68.0;;79.0;;76.0;67.0;;68.0;55.0;;89.0;;;;;;;;;70.0;73.0;82.0;73.0;79.0;78.0;67.0;71.0;88.0;0.0;73.0;75.0;71.0;80.0;72.0;65.0;;63.0;77.0;71.0;;75.0;;;66.0;81.0;;78.0;;76.0;77.0;;82.0;76.0;0.0;Graduated_0
10101285;0.0;;0.0;61.0;;76.0;;67.0;;;;70.0;;;;;;;;;;;;;;;;;;;;;;;;;50.0;44.0;46.0;;;0.0;;;53.0;62.0;;57.0;;;0.0;;0.0;0.0;;Discontinued
10101463;56.0;71.0;;;;;36.0;;;22.0;;98.0;;;;;;;;;78.0;69.0;;;43.0;;;;63.0;;50.0;;;51.0;;;;0.0;76.0;72.0;;52.0;;;35.0;41.0;59.0;29.0;50.0;36.0;40.0;54.0;39.0;50.0;0.0;Graduated_1
10108263;50.0;50.0;62.0;;74.0;69.0;;69.0;64.0;;62.0;88.0;;;;;;;;;57.0;62.0;;;;;;;68.0;;50.0;;50.0;;;;54.0;;;;;45.0;;;67.0;67.0;;56.0;;54.0;51.0;;61.0;51.0;0.0;Graduated_0
10111922;;;;;50.0;;36.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0;;;;;;36.0;44.0;;0.0;;;;;;;;Discontinued
